text,sentiment,category
So there is no way for me to plug it in here in the US unless I go by a converter.,0,Abusive/Hate/Threat
"Good case, Excellent value.",1,Praise/Support
Great for the jawbone.,1,Praise/Support
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,Abusive/Hate/Threat
The mic is great.,1,Praise/Support
I have to jiggle the plug to get it to line up right to get decent volume.,0,Abusive/Hate/Threat
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,Abusive/Hate/Threat
If you are Razr owner...you must have this!,1,Praise/Support
"Needless to say, I wasted my money.",0,Abusive/Hate/Threat
What a waste of money and time!.,0,Abusive/Hate/Threat
And the sound quality is great.,1,Praise/Support
He was very impressed when going from the original battery to the extended battery.,1,Praise/Support
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,Abusive/Hate/Threat
Very good quality though,1,Praise/Support
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,Abusive/Hate/Threat
Highly recommend for any one who has a blue tooth phone.,1,Praise/Support
I advise EVERYONE DO NOT BE FOOLED!,0,Abusive/Hate/Threat
So Far So Good!.,1,Praise/Support
Works great!.,1,Praise/Support
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,Spam/Irrelevant
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,Spam/Irrelevant
I bought this to use with my Kindle Fire and absolutely loved it!,1,Emotional
The commercials are the most misleading.,0,Abusive/Hate/Threat
I have yet to run this new battery below two bars and that's three days without charging.,1,Praise/Support
I bought it for my mother and she had a problem with the battery.,0,Abusive/Hate/Threat
Great Pocket PC / phone combination.,1,Praise/Support
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,Praise/Support
I didn't think that the instructions provided were helpful to me.,0,Abusive/Hate/Threat
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,Abusive/Hate/Threat
Doesn't hold charge.,0,Abusive/Hate/Threat
"This is a simple little phone to use, but the breakage is unacceptible.",0,Constructive Criticism
This product is ideal for people like me whose ears are very sensitive.,1,Praise/Support
It is unusable in a moving car at freeway speed.,0,Spam/Irrelevant
I have two more years left in this contract and I hate this phone.,0,Abusive/Hate/Threat
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,Praise/Support
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,Abusive/Hate/Threat
It has kept up very well.,1,Praise/Support
Poor Talk Time Performance.,0,Abusive/Hate/Threat
The case is great and works fine with the 680.,1,Praise/Support
worthless product.,0,Abusive/Hate/Threat
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,Praise/Support
I was not impressed by this product.,0,Abusive/Hate/Threat
Nice headset priced right.,1,Praise/Support
I only hear garbage for audio.,0,Abusive/Hate/Threat
Excellent bluetooth headset.,1,Praise/Support
It has all the features I want,1,Praise/Support
Who in their right mind is gonna buy this battery?.,0,Spam/Irrelevant
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,Abusive/Hate/Threat
This case seems well made.,1,Praise/Support
Disappointed with battery.,0,Abusive/Hate/Threat
Not loud enough and doesn't turn on like it should.,0,Abusive/Hate/Threat
good protection and does not make phone too bulky.,1,Praise/Support
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,Praise/Support
This phone is pretty sturdy and I've never had any large problems with it.,1,Praise/Support
I love this thing!,1,Emotional
Everything about it is fine and reasonable for the price i.e.,1,Praise/Support
VERY DISAPPOINTED.,0,Abusive/Hate/Threat
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,Praise/Support
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,Praise/Support
The buttons for on and off are bad.,0,Constructive Criticism
Essentially you can forget Microsoft's tech support.,0,Abusive/Hate/Threat
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,Praise/Support
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,Praise/Support
Buy a different phone - but not this.,0,Spam/Irrelevant
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,Abusive/Hate/Threat
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,Constructive Criticism
"A week later after I activated it, it suddenly died.",0,Abusive/Hate/Threat
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,Emotional
Great for iPODs too.,1,Praise/Support
This device is great in several situations:1.),1,Praise/Support
Mic Doesn't work.,0,Abusive/Hate/Threat
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,Abusive/Hate/Threat
Great choice!,1,Praise/Support
Nice docking station for home or work.,1,Praise/Support
This is a beautiful phone.,1,Praise/Support
Love this product.,1,Emotional
Do Not Buy for D807...wrongly advertised for D807.,0,Spam/Irrelevant
This is a great little item.,1,Praise/Support
"I love this phone , It is very handy and has a lot of features .",1,Emotional
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,Abusive/Hate/Threat
I wear it everyday and it holds up very well.,1,Praise/Support
Not a good bargain.,0,Abusive/Hate/Threat
"Well packaged, arrived on time, and works as intended.",1,Praise/Support
The battery runs down quickly.,0,Abusive/Hate/Threat
"This item worked great, but it broke after 6 months of use.",0,Constructive Criticism
The headsets are easy to use and everyone loves them.,1,Emotional
This phone works great.,1,Praise/Support
The construction of the headsets is poor.,0,Abusive/Hate/Threat
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,Praise/Support
The phone loads super!,1,Praise/Support
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,Abusive/Hate/Threat
Made very sturdy.,1,Praise/Support
Worked great!.,1,Praise/Support
The ear buds only play music in one ear.,0,Abusive/Hate/Threat
Dont waste your money...,0,Abusive/Hate/Threat
